name,address,type,lat,lon
Calibre Renovation & Design Studio,"85, Lor 4 Toa Payoh, #01-364, Singapore",home_goods_store,1.335301,103.848437
Sreemaa,"Apt Blk 153, #04-604,, Toa Payoh, Lorong 2,, Singapore",health,1.333596,103.845674
Hairplay Salon,"177 Toa Payoh Central, Singapore",hair_care,1.333985,103.848855
Theresa Beauty Slimming & Fitness Pte Ltd,"1 Toa Payoh N, Singapore",beauty_salon,1.333687,103.847809
Hang Ten,"178 Toa Payoh Central, Singapore",clothing_store,1.333496,103.848576
All Singapore Realty Networking,"125A Lorong 2 Toa Payoh, Singapore",real_estate_agency,1.337497,103.845935
Teochew Handmade Pau,"127 Lorong 1 Toa Payoh, Singapore",food,1.338084,103.844724
Protege Production,"84 Lorong 2 Toa Payoh, Singapore",store,1.335319,103.847758
Car Club,"146 Lorong 2 Toa Payoh, Singapore",car_rental,1.334596,103.846427
7 Days,"1 Woodlands Rd, Singapore",furniture_store,1.397328,103.754277
Lee Bee Huat,"375 Woodlands Loop, Singapore",home_goods_store,1.396813,103.754261
Compassvale Primary School,"21 Compassvale St, Singapore",school,1.39418,103.897901
Rivervale Primary School,"80 Rivervale Dr, Singapore",school,1.393286,103.904435
St Anne\'s Church Kindergarten,"66 Sengkang East Way, Singapore",school,1.391582,103.901736
Unity NTUC healthcare,"11 Rivervale Crescent, Singapore",pharmacy,1.392092,103.904439
Epi Treatz,"11 Rivervale Crescent, Singapore",beauty_salon,1.39198,103.904546
RoomWithAircon.com,"Punggol Rd, Singapore",real_estate_agency,1.392021,103.901117
Singapore Dream,"369 Lorong Buang Kok, Singapore",store,1.391434,103.900651
Ntuc Denticare,"11 Rivervale Crescent, Singapore",dentist,1.392092,103.904439
Victoria Dental Care,"11 Rivervale Crescent, Singapore",dentist,1.392092,103.904439
Metamorphosis Student Care @ Senkang,"26 Jalan Merdu, Singapore",school,1.392332,103.900542
Ho Bee Goldsmith & Jewellery,"11 Rivervale Crescent, Singapore",jewelry_store,1.39198,103.904546
Kimage Hair Studio,"11 Rivervale Crescent, Singapore",hair_care,1.39198,103.904546
Real Estate,Singapore,real_estate_agency,1.396306,103.901809
Smart Foods Pte Ltd,"Rivervale Dr, Singapore",food,1.392471,103.903714
Visuddha Meditation Centre (Singapore),"30 St Anne\'s Wood, Singapore",place_of_worship,1.391475,103.903195
The Church of Jesus Christ the Latter-day Saints,Singapore,church,1.394564,103.900156
Fitness Champs,"244 Compassvale Rd, Singapore",store,1.393554,103.899001
Infratint Automotive Film Pte Ltd,"26 Boon Lay Way, Singapore",car_rental,1.32906,103.75189
Hvper Sport - TradeHub 21,"24 Boon Lay Way, #01-74, TradeHub 21, Singapore",store,1.328682,103.752557
Royscan Engineering Pte Ltd,"16 Boon Lay Way, #01-54, Tradehub 21, Singapore",store,1.328637,103.753021
Arbite,"66 Serangoon Garden Way, Singapore",restaurant,1.364169,103.865478
Ice3 Pte Ltd ( ICE Cube),"11 Kensington Park Rd, Singapore",store,1.364925,103.866089
myVillage,"1 Maju Ave, Singapore",cafe,1.364748,103.865449
Yum Cha Garden,"22 Kensington Park Rd, Singapore",restaurant,1.364558,103.8664
Kensington Family Clinic,"14D Kensington Park Rd, Singapore",health,1.365288,103.866133
Shin Kushiya (Serangoon Garden),"Serangoon Garden Way, Singapore",restaurant,1.363441,103.866359
Medicine Wei Min Clinic,"14 Kensington Park Rd, Singapore",doctor,1.365158,103.866153
Bakerzin (myVillage@Serangoon),"1 Maju Ave, Singapore",store,1.365216,103.865262
The Straits Wine Company (Garden Way),"80 Serangoon Garden Way, Singapore",liquor_store,1.364274,103.86503
The Tamarind Spa,"5 Maju Ave, Singapore",spa,1.365153,103.865477
A Han Bakes,"78 Serangoon Garden Way, Singapore",bakery,1.364164,103.865046
Friends,"Friends, #01-01A Serangoon Garden Village, 1 Maju Ave., Singapore",restaurant,1.364974,103.865444
Standard Chartered Bank,"67 Serangoon Garden Way, Singapore",atm,1.363518,103.865371
HIV & STD Testing Singapore Clinic,"14D Kensington Park Rd, Singapore",health,1.365307,103.866201
Pets\' Station,"16 Maju Ave, Singapore",pet_store,1.365036,103.865739
MTM Skin Care Pte Ltd,"85 Serangoon Garden Way, Singapore",beauty_salon,1.364498,103.864381
Ravello,"14 Kensington Park Rd, Singapore",liquor_store,1.365109,103.866178
Wine Connection @ My Village,"1 Maju Ave, Singapore",liquor_store,1.365217,103.865262
JF Self Defense,"14 Maju Ave, Singapore",health,1.364981,103.865391
Dia Bella Nail Spa,"8 Maju Ave, Singapore",beauty_salon,1.364873,103.86572
Skye Herbal Hair Treatment Salon,"2A Maju Ave, Singapore",spa,1.364611,103.865724
Cherith Baptist Church,"89 Serangoon Garden Way, Singapore",church,1.36413,103.864716
Optimum Bodycare Pte Ltd,"14 Kensington Park Rd, Singapore",health,1.365109,103.866178
Sparklean Laundry Services,"24 Maju Ave, Singapore",laundry,1.36526,103.865531
Maier Pte. Ltd.,"1 Maju Avenue, #B1-06/07, Singapore",electronics_store,1.364489,103.86583
Wacoal,"1 Maju Avenue, #01-02, myVillage at Serangoon Garden, Singapore",clothing_store,1.365206,103.865266
Kai Life,"1 Maju Ave, Singapore",hardware_store,1.365217,103.865262
Chinta Manis @ myVillage (Serangoon Garden),"1 Maju Ave, Singapore",restaurant,1.365217,103.865262
QB House - My Village (Serangoon Garden),"1 Maju Avenue, #B1-04 My Village Serangoon Garden, Singapore",beauty_salon,1.365249,103.865178
Embrace Pte Ltd,"1 Maju Avenue, #01-25, myVillage @ Serangoon Gardens, Singapore",department_store,1.365155,103.865234
GEM Vacation & Travel Pte Ltd,"3 Maju Ave, Singapore",travel_agency,1.3651,103.865475
Kawaii Tokyo Pte Ltd - Serangoon Gdn Way,"66 Serangoon Garden Way, Singapore",store,1.364169,103.865478
Obolo Estudio,"1 Maju Avenue, #B1-K08 MyVillage @ Serangoon Garden, Singapore",food,1.365351,103.865218
Spectacle Hut - MyVillage,"1 Maju Avenue, #B1-21/22 MyVillage Serangoon Garden, Singapore",store,1.365362,103.865194
Wang Cafe - My Village,"1 Maju Avenue, #B1-25, My Village, Serangoon Gardens, 556679, Singapore",restaurant,1.365373,103.865218
Gastronomia da Paolo - Serangoon Gardens‎,"1 Maju Ave, Singapore",restaurant,1.365217,103.865262
Vale n Fleur,"2A Maju Ave, Singapore",florist,1.364566,103.865719
Art Speaks Studio Pte Ltd,"87 Serangoon Garden Way, Singapore",school,1.364014,103.86512
A-Star Interactive,"37 Farleigh Ave, Singapore",store,1.365065,103.864521
1855 The Bottle Shop @ Serangoon Gardens,"5 Maju Ave, Singapore",liquor_store,1.365152,103.865479
Apple Plus School - The Serangoon Centre,"10 Maju Ave, Singapore",school,1.365057,103.865537
Kuo Chuan Presbyterian Secondary School,"10 Bishan Street 13, Singapore",school,1.350135,103.854907
Singapore Life Church - Bishan,"10 Bishan Street 13, Singapore",church,1.350135,103.854907
Dress Me Up,"Block 188, Bishan Street 13, Singapore",clothing_store,1.349944,103.851656
MOELC - Bishan Campus,"11 Bishan Street 14, Singapore",school,1.353584,103.851701
St Joseph\'s Institution,"21 Bishan Street 14, Singapore",school,1.351998,103.853265
D & N Locksmith Services,"852 Jurong West Street 81, Singapore",locksmith,1.347214,103.692629
GoldenBird Nest(s) Pte Ltd,"72 Bendemeer Rd, Singapore",food,1.316157,103.862128
Olympia Engineering Pte Ltd,"60 Bendemeer Rd, Singapore",store,1.316098,103.86208
Mondecasa Singapore Pte Ltd,"62 Bendemeer Rd, Singapore",furniture_store,1.316034,103.86201
Blutoi,"7 Boon Keng Rd, Singapore",store,1.315423,103.859729
Mcwell Ventures Pte Ltd,"51 Ubi Avenue 1 #01-05, Paya Ubi Industrial Park, Singapore",store,1.325646,103.897896
Crescendo Interior & Lifestyle Pte Ltd,"10 Ubi Crescent, Singapore",home_goods_store,1.326028,103.896954
Comfort Design Pte Ltd,"110 Eunos Avenue 7, Singapore",furniture_store,1.322859,103.897231
Viperlink Pte Ltd,"10 Ubi Crescent, Singapore",electronics_store,1.326293,103.896145
Cotton Care - Laundry and Dry Cleaning Services,Singapore,laundry,1.325723,103.896444
Gary Engineering Service,"53 Ubi Avenue 1, Singapore",car_repair,1.325664,103.896431
D\'Galleria Pte Ltd - Boulevard Outdoor Furniture,Singapore,furniture_store,1.326293,103.896145
SG Corporate Gifts Pte Ltd,"10 Ubi Crescent, Singapore",clothing_store,1.326143,103.895716
Paya Ubi Industrial Park Pte Ltd,"Ubi Avenue 1, Singapore",home_goods_store,1.325547,103.896804
Wee Wee Laundry Service,"51 Ubi Avenue 1, Singapore",laundry,1.325096,103.898223
Caleb Management Services,"10 Ubi Crescent, Singapore",accounting,1.325877,103.896497
Babywell International Pte. Ltd..,"10 Ubi Crescent, #05-45, Ubi Tech Park, Singapore",store,1.325877,103.896498
Shopbug Pte Ltd,"10 Ubi Crescent, Singapore",clothing_store,1.325877,103.896498
costume rental singapore,"1003 Eunos Avenue 8, Singapore",clothing_store,1.323814,103.899771
Efektif Technology,"10 Ubi Crescent, Singapore",electronics_store,1.326293,103.896145
Acc-Pro Business Solutions,"10 Ubi Crescent, Singapore",accounting,1.325877,103.896498
Piccolo House,Singapore,furniture_store,1.326293,103.896145
Leong Seng Thiam Kee,"53 Ubi Ave 1, #01-04/05 Paya Ubi Industrial Park, Singapore",store,1.325337,103.896576
Manna Pot Catering Pte Ltd,"Eunos Avenue 7, Singapore",food,1.322741,103.895888
FabulousX Pte Ltd,"51 Ubi Avenue 1, Singapore",store,1.325445,103.898
Henry Design Centre Pte Ltd,"5 Eunos Avenue 8A, Singapore",furniture_store,1.323948,103.898132
New Image International Singapore Pte Ltd,"55 Ubi Avenue 1, Singapore",food,1.326008,103.895878
Singapore Car Rental,Singapore,local_government_office,1.325096,103.898223
Chu Tat Co Pte Ltd,"10 Ubi Crescent, Singapore",food,1.325877,103.896498
Copytron Office Products Pte Ltd,"9 Eunos Avenue 8A, Singapore",store,1.323807,103.89719
Aspial-Lee Hwa Jewellery Singapore Pte Ltd,"55 Ubi Avenue 1, Singapore",jewelry_store,1.326008,103.895878
Radiform Insulation Industries Pte Ltd,"Ubi Avenue 1, Singapore",electronics_store,1.325664,103.896431
Wholesale Antique Company,"Ubi Avenue 1, Singapore",store,1.325096,103.898223
Trinity Law Corporation,Singapore,lawyer,1.326378,103.896277
HB Construction Services,"Blk 1050 Eunos Avenue 7, #01-131, Singapore",roofing_contractor,1.322147,103.896274
Asia White Ant Control Co Pte Ltd,"10 Ubi Crescent, Singapore",home_goods_store,1.325877,103.896498
Champion Hobby & Accessories,"53 Ubi Avenue 1, #01-16, Singapore",store,1.325655,103.896999
Singapore Carpets,Singapore,laundry,1.325096,103.898223
Host Pte Ltd,"120 Eunos Avenue 7, #01-04, Singapore",electronics_store,1.323318,103.896274
Propell Integrated Pte Ltd,"10 Ubi Crescent, Singapore",electrician,1.325877,103.896498
Reach Electrical (S) Pte Ltd,"51 Ubi Avenue 1, Singapore",home_goods_store,1.325933,103.897908
Alpha Sales & Services Pte Ltd,"Ubi Avenue 1, Singapore",home_goods_store,1.325096,103.898223
Bio Laboratories Pte Ltd,"10 Ubi Crescent, Singapore",store,1.325877,103.896498
TTS Window Fashions Pte Ltd,"Ubi Avenue 1, Singapore",furniture_store,1.325096,103.898223
Nam Wah Battery Co (Pte) Ltd,"Ubi Avenue 1, Singapore",store,1.325664,103.896431
NTUC Healthcare Co-operative Ltd,"55 Ubi Avenue 1, #08-01/08, Singapore",beauty_salon,1.325078,103.895549
System Pest Control Services Pte Ltd,"10 Ubi Crescent, Singapore",home_goods_store,1.325877,103.896498
New Ubin Seafood,"Block 27 Sin Ming Road, Sin Ming Industrial Estate Sector A #01-174, Singapore",restaurant,1.35567,103.840017
Whitley Secondary School,"30 Bishan Street 24, Singapore",school,1.355497,103.843265
Extra Space Self Storage Singapore,"9 Sin Ming Industrial Est Sector B, Singapore",storage,1.357396,103.840906
BVO Automotive,"15 Sin Ming Industrial Est Sector A, Singapore",car_repair,1.356089,103.839624
Global Broadcast Supply,"159 Sin Ming Road, #04-07 Amtech Building, Singapore",home_goods_store,1.356287,103.837486
BW Pre-Owned Automobiles Pte Ltd,"159 Sin Ming Rd, Singapore",car_dealer,1.356122,103.837639
Steady Steps,"270 Bishan Street 24, Singapore",health,1.356979,103.842072
Gan Teck Kar Investments Pte Ltd,"159 Sin Ming Rd, Singapore",food,1.356192,103.837688
Tuffi Private Ltd,"34 Sin Ming Dr, Singapore",finance,1.358714,103.837384
Alfa Sportivo,"9 Sin Ming Industrial Est Sector C, Singapore",car_repair,1.358023,103.838341
City Auto Pte. Ltd.,"13 Sin Ming Industrial Est Sector B, Singapore",car_repair,1.356648,103.840196
Ngai Hong Spray Painting,"12 Sin Ming Industrial Est Sector B, Singapore",car_repair,1.357118,103.840436
833 Motorsports,"20 Sin Ming Industrial Est Sector A, Singapore",car_repair,1.355642,103.838126
Ricardo Auto Centre Pte Ltd,"20 Sin Ming Industrial Est Sector A, Singapore",store,1.355481,103.838436
Ace Plumbing Services,"270 Bishan Street 24, #10-198, Singapore",plumber,1.356903,103.842314
GSC AUTO SERVICES,"176 Sin Ming Dr, Singapore",store,1.359022,103.838911
Koh Guan Chua Workshop,"7 Sin Ming Industrial Est Sector C, Singapore",car_repair,1.358325,103.838605
Classic Auto Rental Pte Ltd,"157 Sin Ming Rd, Singapore",car_rental,1.356329,103.838074
MGI Enterprise,"159 Sin Ming Rd, Singapore",furniture_store,1.356192,103.837688
Alan\'s United Auto,"7 Sin Ming Industrial Est Sector C, Singapore",car_repair,1.358796,103.838784
Raffles Hospital Pte Ltd,"Blk 283 Bishan Street 22, #01-177, Singapore",hospital,1.358171,103.844089
Hua Yang Credit Pte Ltd,"159 Sin Ming Rd, Singapore",car_rental,1.356451,103.83787
LSK Engineering (S) Pte Ltd,"159 Sin Ming Rd, Singapore",electrician,1.356192,103.837688
AutoDiesel Turbo Fuel Systems Pte Ltd,"101 Woodlands Industrial Park E5, Singapore",car_repair,1.355481,103.838436
Orange Living,"159 Sin Ming Rd, Singapore",furniture_store,1.356121,103.837638
Church Of S\'pore(Balestier),"159 Sin Ming Road, #02-02, Singapore",church,1.356451,103.837567
Unico Motor Pte Ltd,"22 Sin Ming Rd, Singapore",store,1.356942,103.838909
Insure Hub Pte Ltd,"157 Sin Ming Rd, Singapore",insurance_agency,1.356329,103.838074
Teutonic Technologies,"8 Sin Ming Industrial Est Sector C, Singapore",insurance_agency,1.35838,103.838455
Cosmo Automobiles Pte. Ltd.,"159 Sin Ming Road, #01-04, Amtech Building, Singapore",car_dealer,1.356565,103.837623
Six Phase E & T,"157 Sin Ming Rd, Singapore",insurance_agency,1.356329,103.838074
Baby & Child Clinic,"Blk 279 Bishan Street 24, #01-50, Singapore",health,1.357585,103.844089
Bitwave Pte Ltd,"Amtech Bldg, 159 Sin Ming Rd, Singapore",electronics_store,1.356451,103.83787
Yosun Singapore Pte Ltd,"159 Sin Ming Rd, Singapore",electronics_store,1.356192,103.837688
BH Auto Services Pte Ltd,"1 Sin Ming Industrial Est Sector C, Singapore",store,1.358749,103.838141
Annex.Id,"283 Bishan Street 22, Singapore",home_goods_store,1.358923,103.844077
CS Racing Pte Ltd,"17 Sin Ming Industrial Est Sector A, Singapore",car_dealer,1.355998,103.83913
Straits Euro Motors Pte Ltd,"159 Sin Ming Rd, Singapore",car_dealer,1.35617,103.837719
Practical Support LLP,"159 Sing Ming Road, #04-06, Amtech Building, Singapore",finance,1.356473,103.837502
Premacom Services,"286 Bishan Street 24, Singapore",home_goods_store,1.358454,103.843912
K.U.S Holdings (S) Pte Ltd,"10 Sin Ming Industrial Est Sector C, Singapore",store,1.358082,103.838558
Billy Carcare Cng Workshop,"19 Sin Ming Industrial Est Sector A, Singapore",car_repair,1.355738,103.838462
Star Deals Gallery Pte Ltd,"159 Sin Ming Rd, Singapore",car_dealer,1.35617,103.837719
Global Art - Bishan,"283 Bishan Street 22, Singapore",school,1.358923,103.844077
Heritage @ Tong Watt Pte Ltd,"159 Sin Ming Rd, Singapore",real_estate_agency,1.35617,103.837719
Carfeels Pte Ltd,"14 Sin Ming Industrial Est Sector B, Singapore",store,1.356651,103.839978
NIE Library,"1 Nanyang Walk, Singapore",library,1.348661,103.677635
Unesco-Nie Centre for Arts Research in Education (Care),"1 Nanyang Walk, Singapore",school,1.349219,103.677587
Sun Pets and Aquariums,"26 Seletar West Farmway 1, Singapore",pet_store,1.391441,103.866527
South Island Aquarium,"22 Seletar West Farmway 2, Singapore",pet_store,1.390133,103.867091
Atlas Aquarium (Singapore) Pte Ltd,"19 Seletar West Farmway 1, Singapore",pet_store,1.390939,103.867585
Straits Aquariums Pte Ltd,"31 Seletar West Farmway 1, Singapore",pet_store,1.391208,103.865395
Mitchville K-9 Kennels,"16 Seletar West Farmway 1, Singapore",pet_store,1.391445,103.86728
Teo Way Yong & Sons Pte Ltd,"11 Seletar West Farmway 3, Singapore",pet_store,1.391872,103.868666
C & B Aquarium Pte Ltd,"21 Seletar West Farmway 1, Singapore",book_store,1.390984,103.866572
DLR Gallery,"22 Marshall Rd, Singapore",art_gallery,1.305228,103.902244
The Hearing Centre Pte Ltd,"865 Mountbatten Road, #06-21, Katong Shopping Centre, Singapore",store,1.303916,103.901132
CircusOutreach Ltd,Singapore,store,1.304617,103.901888
Swee Lee Music - Katong Showroom,"865 Mountbatten Road, #B1-124 Katong Shopping Centre, Singapore",department_store,1.303951,103.901082
Home Classic Interior Furnishing,"34 Ean Kiam Pl, Singapore",home_goods_store,1.305051,103.901749
SDL Logistics Pte Ltd,"46 Ean Kiam Pl, Singapore",storage,1.305336,103.901557
Supreme Oilfield Services Pte Ltd,"53 Shipyard Rd, Singapore",car_repair,1.305405,103.683893
Global Catering Services Pte Ltd,"53 Shipyard Rd, Singapore",food,1.305388,103.683701
Kilo,"66 Kampong Bugis, Singapore",restaurant,1.30619,103.866094
Loysel\'s Toy,"66 Kampong Bugis, #01-01 Sam Tat Building, Singapore",cafe,1.30606,103.86619
UKULELE MOVEMENT,"66 Kampong Bugis, Singapore",store,1.30619,103.866094
international buffet singapore,"Golden Mile Tower, Singapore",restaurant,1.302776,103.8651
JM Management & Accounting Pte. Ltd.,"6001 Beach Road, #16-04 Golden Mile Tower, Singapore",accounting,1.302766,103.865242
"Personal loans moneylender singapore. HSX Credit | 5001, Beach Road #03-35","Golden Mile Complex, Singapore",finance,1.30279,103.865213
Streetwave Pte. Ltd.,"3 Beach Rd, Singapore",store,1.304245,103.865265
133 Trading,"505 Beach Rd, #02-133 Golden Mile Food Centre, Singapore",store,1.304,103.866093
Businessworks,"Golden Mile Complex, Singapore",real_estate_agency,1.302718,103.865068
Sumitomo Chemical Singapore Pte Ltd,"5 Beach Rd, Singapore",finance,1.304422,103.865068
Petite Papillon Playhouse,"66 Kampong Bugis, Singapore",school,1.306165,103.865808
Car City Trading,"Kallang Auto Centre, 15 Stadium Link (S)397751, Singapore",car_dealer,1.30743,103.871659
Aveotechnet,"Golden Mile Tower, 6001 Beach Road, #01-57, Singapore",car_repair,1.302728,103.865033
EZ Loan,"3 Beach Rd, #01-4853, Singapore",finance,1.304415,103.865374
Will Auto Trading Pte Ltd,"51 Kampong Bugis, Singapore",store,1.307084,103.866855
Trend Plan Systems Pte Ltd,"51 Kampong Bugis, Singapore",furniture_store,1.307084,103.866855
Far East Drug Company Pte Ltd,"3 Beach Rd, Singapore",pharmacy,1.304245,103.865265
The Fit Bar,"3 Beach Rd, Singapore",store,1.304415,103.865374
The Salad Shop,"80 Raffles Pl, Singapore",store,1.285361,103.85054
"Watson, Farley & Williams","6 Battery Rd, Singapore",lawyer,1.285372,103.851926
"Charlie\'s Tapas, Grill & Bar","32 Boat Quay, Singapore",bar,1.2862,103.849774
The Moomba Tuckshop,"4 Battery Road, Bank of China Building #B1-01, Singapore",restaurant,1.28568,103.852316
Torm Singapore Pte. Ltd.,"6 Battery Rd, Singapore",store,1.285539,103.851667
Landbank of Taiwan,"UOB Plaza, Singapore",bank,1.285285,103.850233
G. K. Goh Strategic Holdings,"50 Raffles Pl, Singapore",finance,1.284842,103.852261
VTB Bank Europe plc,"9 Battery Rd, Singapore",bank,1.2853,103.852224
Western Bulk Pte. Ltd.,"6 Battery Rd, Singapore",finance,1.285539,103.851667
Rain Tree Capital,"12 Marina View, Singapore",finance,1.285292,103.850262
Iyer Practice Advisers,"80 Raffles Place, #26-01 UOB Plaza 1, Singapore",accounting,1.285436,103.850674
NoLimits Asia,"6 Battery Rd, Singapore",school,1.285334,103.851841
San Marco,"1 Fullerton Square, The Fullerton Singapore, Singapore",restaurant,1.28633,103.852932
Far Eastern Bank Limited,"80 Raffles Pl, Singapore",bank,1.285361,103.85054
Commercial.SG - Office Leasing,"50 Raffles Place #30-00, Singapore Land Tower, Singapore",real_estate_agency,1.284884,103.851871
City Index Asia Pte Ltd,"6 Battery Rd, Singapore",finance,1.285539,103.851667
Upstairs @ Harry\'s Boat Quay,"28 Boat Quay, Singapore",restaurant,1.285974,103.849948
San Francisco Coffee,"3 Phillip St, Singapore",cafe,1.284741,103.84995
Forex Prop Traders - SIX CAPITAL,"6 Battery Rd, Singapore",finance,1.285539,103.851667
Arab Bank Plc,"80 Raffles Pl, Singapore",bank,1.285361,103.85054
Singapore Pub Crawl,"80 Raffles Pl, Singapore",night_club,1.285834,103.851074
Asia Principal Capital Ltd,"UOB Plaza 1, Singapore",finance,1.285285,103.850233
Financial Connections Services,"10 Anson Rd, Singapore",insurance_agency,1.285507,103.850455
The Spiffy Dapper,"61 Boat Quay, Singapore",bar,1.28764,103.849413
Abn Amro Asia Pacific Pte Ltd,"63 Chulia St, Singapore",bank,1.285033,103.849616
Regus Singapore,"1 Raffles Place, Level 24, Singapore",real_estate_agency,1.284756,103.851276
Infinity Treasures Pte Ltd,"6 Battery Rd, Singapore",finance,1.285549,103.849649
LaPrendo Fullerton,"1 Fullerton Square, Singapore",jewelry_store,1.28626,103.852966
The Designer Chair,"Level 42, Six Battery Road, Singapore",furniture_store,1.285161,103.851842
http://www.asiapacfinance.com/,"9 Battery Rd, Singapore",finance,1.2853,103.852224
Skandinaviska Enskilda Banken,"50 Raffles Pl, Singapore",bank,1.284842,103.852261
The Verandah Cafe,"1 Empress Pl, Asian Civilisation Museum, Singapore",cafe,1.287048,103.851502
"The Body Clinic Singapore | Neck, Shoulder, Back & Knee Pain Solutions","9 Battery Rd, Singapore",health,1.2853,103.852224
Vistra Corporate Services (S) Pte. Ltd.,"20 Raffles Pl, Singapore",finance,1.285174,103.850744
Ambassador Hotel Services,"47 Boat Quay, Singapore",restaurant,1.28688,103.84941
Svenska Handelsbanken,"65 Chulia Street, #21-01/04 OCBC Centre, Singapore",bank,1.285564,103.849806
The Fry Group,"6 Battery Rd, Singapore",finance,1.285539,103.851667
Advanced Firefighting Technology Pte Ltd,"10 Science Park Rd, Singapore",fire_station,1.288119,103.779601
Ingredion Incorporated,"10 Science Park Rd, Singapore",food,1.288119,103.779601
Pine Garden\'s Cake,"529 Ang Mo Kio Avenue 10, Singapore",bakery,1.372792,103.855943
Jing Shan Primary School,"5 Ang Mo Kio Street 52, Singapore",school,1.371479,103.851863
Eumora Store,"Blk 574 Ang Mo Kio Ave 10, #01-1833, Singapore",store,1.371097,103.856309
Xpectculture,"529 Ang Mo Kio Avenue 10, Singapore",hair_care,1.372792,103.855943
De Flora Collection,"529 Ang Mo Kio Avenue 10, Singapore",florist,1.372792,103.855943
Joshua Lim Science Hub,"574 Ang Mo Kio Avenue 10, Singapore",school,1.371097,103.856309
Kim Wong Feng Shui,"530 Ang Mo Kio Avenue 10, Singapore",school,1.37283,103.85541
Suitaste,"525 Ang Mo Kio Avenue 10, Singapore",restaurant,1.37255,103.854198
Wonder Wash,"Block 555, Ang Mo Kio Avenue 10, #01-1946, Singapore",laundry,1.371367,103.857001
Letus Accountancy,"427 Ang Mo Kio Avenue 3, Singapore",accounting,1.369293,103.854499
New Sparklean Laundry Pte Ltd - Ang Mo Kio,"526 Ang Mo Kio Avenue 10, Singapore",laundry,1.373009,103.854069
Ang Mo Kio South Neighbourhood Police Centre,"81 Ang Mo Kio Avenue 3, Singapore",police,1.369793,103.851683
Popeyes,"65 Airport Blvd, Singapore",restaurant,1.354371,103.98517
Candy Empire,"65 Airport Blvd, Singapore",food,1.354371,103.98517
Times Travel,"65 Airport Blvd, Singapore",book_store,1.354371,103.98517
Swatch,"65 Airport Blvd, Singapore",store,1.354371,103.98517
Body Contours,"65 Airport Blvd, Singapore",health,1.354371,103.98517
Mini toons,"132 Airport Blvd, Singapore",store,1.354371,103.98517
Wang Cafe,"Changi Airport Terminal 3, 65 Airport Boulevard, #02-91, Singapore",cafe,1.354371,103.98517
Bluebubbles Fitness,"101 Seletar Club Rd, Singapore",store,1.409643,103.858065
Da Qiao Primary School,"8 Ang Mo Kio Street 54, Singapore",school,1.371901,103.858833
N30 Trading & Enterprises,"5038 Ang Mo Kio Industrial Park 2, Singapore",aquarium,1.372383,103.862563
Eastwest Interior Contract,"Blk 5062 Ang Mo Kio Industrial Park 2, #01-1291, Singapore",home_goods_store,1.375064,103.861482
Tack Ah Electric & Engineering Service,"5040 Ang Mo Kio Industrial Park 2, Singapore",electrician,1.372779,103.862433
OldVolks Place Pte Ltd,"5035 Ang Mo Kio Industrial Park 2, Singapore",car_repair,1.371936,103.861752
Shuan Shin Trading Pte Ltd,"5044 Ang Mo Kio Industrial Park 2, Singapore",store,1.372957,103.860823
A Glascon Pte Ltd,"5031 Ang Mo Kio Industrial Park 2, Singapore",store,1.371418,103.861682
James Cook Australia Institute of Higher Learning Pte Ltd,"10 Ang Mo Kio Street 54, Singapore",university,1.373283,103.858513
Woo & Woo Engineering Co.,"5062 Ang Mo Kio Industrial Park 2, Singapore",hardware_store,1.375475,103.861147
"Business Library, Nanyang Technological University","50 Nanyang Ave, Singapore",library,1.346656,103.679834
Nanyang Technological University School Of Computer Engineer,"Block N4 Nanyang Avenue #02a-32, Singapore",school,1.346664,103.68206
"Library Instructional Commons, Nanyang Technological University (NTU) Library","50 Nanyang Ave, Singapore",library,1.346151,103.679963
Nanyang Technological University - College of Engineering,"70 Nanyang Dr, Singapore",university,1.345407,103.680088
State Bank of India,"76 Nanyang Dr, Singapore",atm,1.34715,103.680099
NTU Dental Centre,"1 Nanyang Avenue #B2, Singapore",dentist,1.346296,103.680927
Soce Singapore,"120C Rivervale Dr, Singapore",general_contractor,1.385129,103.904015
LetsDoMaths.com,"123C Rivervale Dr, Singapore",school,1.38646,103.902143
The Helping Hand,"819 Upper Serangoon Rd, Singapore",furniture_store,1.357757,103.881578
St. Paul\'s Church,"839 Upper Serangoon Rd, Singapore",church,1.35834,103.88246
DIMENSIONS International College,"58 Lowland Rd, Singapore",school,1.362429,103.882675
博偉国际教育学院,"58 Lowland Rd, Singapore",school,1.362445,103.882675
KNQ Associates,"71 Ubi Road 1, Singapore",home_goods_store,1.361179,103.88345
Glamour Beaute Consultancy,"33A Lowland Rd, Singapore",beauty_salon,1.361234,103.883265
Flowerville,"33 Lowland Rd, Singapore",florist,1.361226,103.883258
Hang Ten,"205 Hougang Street 21, Singapore",clothing_store,1.359319,103.88538
Progress Piling Pte. Ltd.,"204 Hougang Street 21, Singapore",store,1.358853,103.884919
Marketing M & E 2000,"25A Lowland Road (S)547415, Singapore",store,1.361001,103.883374
Hung Chau (S) Pte. Ltd.,"204 Hougang Street 21, #01-115, Singapore",home_goods_store,1.35852,103.884676
Bbqchicken,"Blk 205 Hougang Street 21, Singapore",restaurant,1.359106,103.884676
Selegie Soya Bean,"209 Hougang Street 21, Singapore",grocery_or_supermarket,1.359092,103.886095
